,data,stato,totale_casi,totale_positivi,totale_ospedalizzati,terapia_intensiva,ricoverati_con_sintomi,isolamento_domiciliare,dimessi_guariti,deceduti
0,2020-01-24,FR,3,,3.0,,,,,0.0
1,2020-01-27,FR,3,3.0,3.0,0.0,3.0,0.0,0.0,0.0
2,2020-01-28,FR,4,4.0,4.0,1.0,3.0,0.0,0.0,0.0
3,2020-01-29,FR,5,5.0,5.0,2.0,3.0,0.0,0.0,0.0
4,2020-01-30,FR,6,6.0,6.0,2.0,4.0,0.0,0.0,0.0
5,2020-01-31,FR,6,6.0,6.0,2.0,4.0,0.0,0.0,0.0
6,2020-02-02,FR,6,6.0,6.0,1.0,5.0,0.0,0.0,0.0
7,2020-02-03,FR,6,6.0,6.0,1.0,5.0,0.0,0.0,0.0
8,2020-02-04,FR,6,6.0,6.0,1.0,5.0,0.0,0.0,0.0
9,2020-02-05,FR,6,6.0,6.0,1.0,5.0,0.0,0.0,0.0
10,2020-02-07,FR,6,6.0,6.0,1.0,5.0,0.0,0.0,0.0
11,2020-02-08,FR,11,11.0,11.0,1.0,10.0,0.0,0.0,0.0
12,2020-02-09,FR,11,11.0,11.0,1.0,10.0,0.0,0.0,0.0
13,2020-02-10,FR,11,11.0,11.0,1.0,10.0,0.0,0.0,0.0
14,2020-02-12,FR,11,9.0,9.0,1.0,8.0,0.0,2.0,0.0
15,2020-02-13,FR,11,8.0,8.0,1.0,7.0,0.0,3.0,0.0
16,2020-02-15,FR,12,7.0,7.0,,,0.0,4.0,1.0
17,2020-02-17,FR,12,,,,,,,1.0
18,2020-02-19,FR,12,4.0,4.0,,,0.0,7.0,1.0
19,2020-02-21,FR,12,1.0,1.0,,,0.0,10.0,1.0
20,2020-02-23,FR,12,1.0,1.0,,,0.0,10.0,1.0
21,2020-02-24,FR,12,0.0,,,,,11.0,1.0
22,2020-02-25,FR,14,2.0,2.0,,,0.0,11.0,1.0
23,2020-02-26,FR,18,4.0,4.0,,,0.0,12.0,2.0
24,2020-02-27,FR,38,24.0,24.0,2.0,22.0,0.0,12.0,2.0
25,2020-02-28,FR,57,,,,,,,2.0
26,2020-02-29,FR,100,86.0,86.0,9.0,77.0,0.0,12.0,2.0
27,2020-03-01,FR,130,116.0,116.0,9.0,107.0,0.0,12.0,2.0
28,2020-03-02,FR,191,,,,,,,3.0
29,2020-03-03,FR,212,196.0,,,,,12.0,4.0
30,2020-03-04,FR,285,,,15.0,,,,4.0
31,2020-03-05,FR,423,,,23.0,,,,7.0
32,2020-03-06,FR,613,,,39.0,,,,9.0
33,2020-03-07,FR,949,,,45.0,,,,16.0
34,2020-03-09,FR,1412,,,66.0,,,,25.0
35,2020-03-10,FR,1784,,,86.0,,,,33.0
36,2020-03-11,FR,2281,,,105.0,,,,48.0
37,2020-03-12,FR,2876,,,129.0,,,,61.0
38,2020-03-14,FR,4500,,,300.0,,,,91.0
39,2020-03-15,FR,5423,,400.0,,,,,127.0
40,2020-03-17,FR,7730,6953.0,2579.0,699.0,1880.0,4374.0,602.0,175.0
41,2020-03-18,FR,9134,7870.0,3626.0,931.0,2695.0,4244.0,1000.0,264.0
42,2020-03-19,FR,10995,9323.0,4461.0,1122.0,3339.0,4862.0,1300.0,372.0
43,2020-03-20,FR,12612,10575.0,5226.0,1297.0,3929.0,5349.0,1587.0,450.0
44,2020-03-21,FR,14459,,6172.0,1525.0,4647.0,,,562.0
45,2020-03-22,FR,16689,13815.0,7240.0,1746.0,5494.0,6575.0,2200.0,674.0
46,2020-03-23,FR,19856,,8675.0,2082.0,6593.0,,,860.0
47,2020-03-24,FR,22302,17921.0,10176.0,2516.0,7660.0,7745.0,3281.0,1100.0
48,2020-03-25,FR,25233,20002.0,11539.0,2827.0,8712.0,8463.0,3900.0,1331.0
49,2020-03-26,FR,29155,22511.0,13904.0,3375.0,10529.0,8607.0,4948.0,1696.0
