,index,date,casConfirmes,deces,decesEhpad,hospitalises,reanimation,gueris,casConfirmesEhpad,nouvellesHospitalisations,nouvellesReanimations
0,0,2020-01-24,3.0,0.0,0.0,3.0,,,0.0,,
1,0,2020-01-27,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,
2,0,2020-01-28,4.0,0.0,0.0,4.0,1.0,0.0,0.0,,
3,0,2020-01-29,5.0,0.0,0.0,5.0,2.0,0.0,0.0,,
4,0,2020-01-30,6.0,0.0,0.0,6.0,2.0,0.0,0.0,,
5,0,2020-01-31,6.0,0.0,0.0,6.0,2.0,0.0,0.0,,
6,0,2020-02-02,6.0,0.0,0.0,6.0,1.0,0.0,0.0,,
7,0,2020-02-03,6.0,0.0,0.0,6.0,1.0,0.0,0.0,,
8,0,2020-02-04,6.0,0.0,0.0,6.0,1.0,0.0,0.0,,
9,0,2020-02-05,6.0,0.0,0.0,6.0,1.0,0.0,0.0,,
10,0,2020-02-07,6.0,0.0,0.0,6.0,1.0,0.0,0.0,,
11,0,2020-02-08,11.0,0.0,0.0,11.0,1.0,0.0,0.0,,
12,0,2020-02-09,11.0,0.0,0.0,11.0,1.0,0.0,0.0,,
13,0,2020-02-10,11.0,0.0,0.0,11.0,1.0,0.0,0.0,,
14,0,2020-02-12,11.0,0.0,0.0,9.0,1.0,2.0,0.0,,
15,0,2020-02-13,11.0,0.0,0.0,8.0,1.0,3.0,0.0,,
16,0,2020-02-15,12.0,1.0,0.0,7.0,,4.0,0.0,,
17,0,2020-02-17,12.0,1.0,0.0,,,,0.0,,
18,0,2020-02-19,12.0,1.0,0.0,4.0,,7.0,0.0,,
19,0,2020-02-21,12.0,1.0,0.0,1.0,,10.0,0.0,,
20,0,2020-02-23,12.0,1.0,0.0,1.0,,10.0,0.0,,
21,0,2020-02-24,12.0,1.0,0.0,,,11.0,0.0,,
22,0,2020-02-25,14.0,1.0,0.0,2.0,,11.0,0.0,,
23,0,2020-02-26,18.0,2.0,0.0,4.0,,12.0,0.0,,
24,0,2020-02-27,38.0,2.0,0.0,24.0,2.0,12.0,0.0,,
25,0,2020-02-28,57.0,2.0,0.0,,,,0.0,,
26,0,2020-02-29,100.0,2.0,0.0,86.0,9.0,12.0,0.0,,
27,0,2020-03-01,130.0,2.0,0.0,116.0,9.0,12.0,0.0,,
28,0,2020-03-02,191.0,3.0,0.0,,,,0.0,,
29,0,2020-03-03,212.0,4.0,0.0,,,12.0,0.0,,
30,0,2020-03-04,285.0,4.0,0.0,,15.0,,0.0,,
31,0,2020-03-05,423.0,7.0,0.0,,23.0,,0.0,,
32,0,2020-03-06,613.0,9.0,0.0,,39.0,,0.0,,
33,0,2020-03-07,949.0,16.0,0.0,,45.0,,0.0,,
34,0,2020-03-09,1412.0,25.0,0.0,,66.0,,0.0,,
35,0,2020-03-10,1784.0,33.0,0.0,,86.0,,0.0,,
36,0,2020-03-11,2281.0,48.0,0.0,,105.0,,0.0,,
37,0,2020-03-12,2876.0,61.0,0.0,,129.0,,0.0,,
38,0,2020-03-14,4500.0,91.0,0.0,,300.0,,0.0,,
39,0,2020-03-15,5423.0,127.0,0.0,400.0,,,0.0,,
40,0,2020-03-17,7730.0,175.0,0.0,2579.0,699.0,602.0,0.0,,
41,0,2020-03-18,9134.0,264.0,0.0,3626.0,931.0,1000.0,0.0,,
