date,areaName,areaType,newAdmissions,cumAdmissions
2020-07-02,United Kingdom,overview,,
2020-07-01,United Kingdom,overview,,
2020-06-30,United Kingdom,overview,,
2020-06-29,United Kingdom,overview,,
2020-06-28,United Kingdom,overview,,
2020-06-27,United Kingdom,overview,,
2020-06-26,United Kingdom,overview,,
2020-06-25,United Kingdom,overview,,
2020-06-24,United Kingdom,overview,,
2020-06-23,United Kingdom,overview,,
2020-06-22,United Kingdom,overview,394,128945
2020-06-21,United Kingdom,overview,423,128515
2020-06-20,United Kingdom,overview,320,128195
2020-06-19,United Kingdom,overview,287,127915
2020-06-18,United Kingdom,overview,384,127568
2020-06-17,United Kingdom,overview,442,127152
2020-06-16,United Kingdom,overview,480,126703
2020-06-15,United Kingdom,overview,498,126229
2020-06-14,United Kingdom,overview,496,125733
2020-06-13,United Kingdom,overview,393,125309
2020-06-12,United Kingdom,overview,415,124978
2020-06-11,United Kingdom,overview,435,124539
2020-06-10,United Kingdom,overview,483,124084
2020-06-09,United Kingdom,overview,547,123560
2020-06-08,United Kingdom,overview,538,123042
2020-06-07,United Kingdom,overview,461,122568
2020-06-06,United Kingdom,overview,440,122144
2020-06-05,United Kingdom,overview,443,121731
2020-06-04,United Kingdom,overview,523,121248
2020-06-03,United Kingdom,overview,637,120660
2020-06-02,United Kingdom,overview,686,120016
2020-06-01,United Kingdom,overview,726,119310
2020-05-31,United Kingdom,overview,651,118633
2020-05-30,United Kingdom,overview,576,118074
2020-05-29,United Kingdom,overview,621,117506
2020-05-28,United Kingdom,overview,663,116872
2020-05-27,United Kingdom,overview,775,116162
2020-05-26,United Kingdom,overview,775,115400
2020-05-25,United Kingdom,overview,777,114655
2020-05-24,United Kingdom,overview,659,113986
2020-05-23,United Kingdom,overview,628,113350
2020-05-22,United Kingdom,overview,675,112748
2020-05-21,United Kingdom,overview,791,111981
2020-05-20,United Kingdom,overview,916,111145
2020-05-19,United Kingdom,overview,924,110273
2020-05-18,United Kingdom,overview,957,109361
2020-05-17,United Kingdom,overview,931,108465
2020-05-16,United Kingdom,overview,838,107623
2020-05-15,United Kingdom,overview,876,106824
2020-05-14,United Kingdom,overview,933,105941
2020-05-13,United Kingdom,overview,970,105026
2020-05-12,United Kingdom,overview,1031,104079
2020-05-11,United Kingdom,overview,1046,103057
2020-05-10,United Kingdom,overview,1102,102054
2020-05-09,United Kingdom,overview,974,101107
2020-05-08,United Kingdom,overview,992,100135
2020-05-07,United Kingdom,overview,985,99253
2020-05-06,United Kingdom,overview,1256,98073
2020-05-05,United Kingdom,overview,1301,96838
2020-05-04,United Kingdom,overview,1218,95687
2020-05-03,United Kingdom,overview,1325,94436
2020-05-02,United Kingdom,overview,1256,93182
2020-05-01,United Kingdom,overview,1245,92059
2020-04-30,United Kingdom,overview,1336,90795
2020-04-29,United Kingdom,overview,1549,89386
2020-04-28,United Kingdom,overview,1583,87851
2020-04-27,United Kingdom,overview,1655,86377
2020-04-26,United Kingdom,overview,1669,84741
2020-04-25,United Kingdom,overview,1444,83262
2020-04-24,United Kingdom,overview,1351,82028
2020-04-23,United Kingdom,overview,1639,80570
2020-04-22,United Kingdom,overview,1595,78999
2020-04-21,United Kingdom,overview,1637,77431
2020-04-20,United Kingdom,overview,1825,75622
2020-04-19,United Kingdom,overview,1832,73770
2020-04-18,United Kingdom,overview,1742,71985
2020-04-17,United Kingdom,overview,1718,70307
2020-04-16,United Kingdom,overview,2058,68323
2020-04-15,United Kingdom,overview,2106,66165
2020-04-14,United Kingdom,overview,1977,64227
2020-04-13,United Kingdom,overview,2154,61998
2020-04-12,United Kingdom,overview,2244,59793
2020-04-11,United Kingdom,overview,2130,57670
2020-04-10,United Kingdom,overview,2243,55369
2020-04-09,United Kingdom,overview,2555,52884
2020-04-08,United Kingdom,overview,2723,50193
2020-04-07,United Kingdom,overview,3056,47191
2020-04-06,United Kingdom,overview,3240,44010
2020-04-05,United Kingdom,overview,3147,40835
2020-04-04,United Kingdom,overview,2963,37774
2020-04-03,United Kingdom,overview,2979,34810
2020-04-02,United Kingdom,overview,3016,31860
2020-04-01,United Kingdom,overview,3358,28477
2020-03-31,United Kingdom,overview,3644,24952
2020-03-30,United Kingdom,overview,2909,21960
2020-03-29,United Kingdom,overview,3282,18681
2020-03-28,United Kingdom,overview,2553,16030
2020-03-27,United Kingdom,overview,2276,13790
2020-03-26,United Kingdom,overview,2303,11456
2020-03-25,United Kingdom,overview,1992,9445
2020-03-24,United Kingdom,overview,2148,7337
2020-03-23,United Kingdom,overview,1778,5400
2020-03-22,United Kingdom,overview,1325,4038
2020-03-21,United Kingdom,overview,,
2020-03-20,United Kingdom,overview,,
2020-03-19,United Kingdom,overview,,
2020-03-18,United Kingdom,overview,,
2020-03-17,United Kingdom,overview,,
2020-03-16,United Kingdom,overview,,
2020-03-15,United Kingdom,overview,,
2020-03-14,United Kingdom,overview,,
2020-03-13,United Kingdom,overview,,
2020-03-12,United Kingdom,overview,,
2020-03-11,United Kingdom,overview,,
2020-03-10,United Kingdom,overview,,
2020-03-09,United Kingdom,overview,,
2020-03-08,United Kingdom,overview,,
2020-03-07,United Kingdom,overview,,
2020-03-06,United Kingdom,overview,,
