date,areaName,areaType,newCasesByPublishDate,cumCasesByPublishDate
2020-07-02,United Kingdom,overview,576,283757
2020-07-01,United Kingdom,overview,829,313483
2020-06-30,United Kingdom,overview,689,312654
2020-06-29,United Kingdom,overview,815,311965
2020-06-28,United Kingdom,overview,901,311151
2020-06-27,United Kingdom,overview,890,310250
2020-06-26,United Kingdom,overview,1006,309360
2020-06-25,United Kingdom,overview,1118,307980
2020-06-24,United Kingdom,overview,653,306862
2020-06-23,United Kingdom,overview,874,306210
2020-06-22,United Kingdom,overview,958,305289
2020-06-21,United Kingdom,overview,1221,304331
2020-06-20,United Kingdom,overview,1295,303110
2020-06-19,United Kingdom,overview,1346,301815
2020-06-18,United Kingdom,overview,1218,300469
2020-06-17,United Kingdom,overview,1115,299251
2020-06-16,United Kingdom,overview,1279,298136
2020-06-15,United Kingdom,overview,1056,296857
2020-06-14,United Kingdom,overview,1514,295889
2020-06-13,United Kingdom,overview,1425,294375
2020-06-12,United Kingdom,overview,1541,292950
2020-06-11,United Kingdom,overview,1266,291409
2020-06-10,United Kingdom,overview,1003,290143
2020-06-09,United Kingdom,overview,1387,289140
2020-06-08,United Kingdom,overview,1205,287399
2020-06-07,United Kingdom,overview,1326,286194
2020-06-06,United Kingdom,overview,1557,284868
2020-06-05,United Kingdom,overview,1650,283311
2020-06-04,United Kingdom,overview,1805,281661
2020-06-03,United Kingdom,overview,1871,279856
2020-06-02,United Kingdom,overview,1653,277985
2020-06-01,United Kingdom,overview,1570,276332
2020-05-31,United Kingdom,overview,1936,274762
2020-05-30,United Kingdom,overview,2445,272826
2020-05-29,United Kingdom,overview,2095,271222
2020-05-28,United Kingdom,overview,1887,269127
2020-05-27,United Kingdom,overview,2013,267240
2020-05-26,United Kingdom,overview,2004,265227
2020-05-25,United Kingdom,overview,1625,261184
2020-05-24,United Kingdom,overview,2409,259559
2020-05-23,United Kingdom,overview,2959,257154
2020-05-22,United Kingdom,overview,3287,254195
2020-05-21,United Kingdom,overview,2615,250908
2020-05-20,United Kingdom,overview,2472,248293
2020-05-19,United Kingdom,overview,2412,248818
2020-05-18,United Kingdom,overview,2684,246406
2020-05-17,United Kingdom,overview,3562,243723
2020-05-16,United Kingdom,overview,3451,240161
2020-05-15,United Kingdom,overview,3560,236711
2020-05-14,United Kingdom,overview,3446,233151
2020-05-13,United Kingdom,overview,3242,229705
2020-05-12,United Kingdom,overview,3403,226463
2020-05-11,United Kingdom,overview,3877,223060
2020-05-10,United Kingdom,overview,3923,219183
2020-05-09,United Kingdom,overview,3896,215260
2020-05-08,United Kingdom,overview,4649,211364
2020-05-07,United Kingdom,overview,5614,206715
2020-05-06,United Kingdom,overview,6111,201101
2020-05-05,United Kingdom,overview,4406,194990
2020-05-04,United Kingdom,overview,3985,190584
2020-05-03,United Kingdom,overview,4339,186599
2020-05-02,United Kingdom,overview,4806,182260
2020-05-01,United Kingdom,overview,6201,177454
2020-04-30,United Kingdom,overview,6032,171253
2020-04-29,United Kingdom,overview,4076,165221
2020-04-28,United Kingdom,overview,3996,161145
2020-04-27,United Kingdom,overview,4310,157149
2020-04-26,United Kingdom,overview,4463,152840
2020-04-25,United Kingdom,overview,4913,148377
2020-04-24,United Kingdom,overview,5386,143464
2020-04-23,United Kingdom,overview,4583,138078
2020-04-22,United Kingdom,overview,4451,133495
2020-04-21,United Kingdom,overview,4301,129044
2020-04-20,United Kingdom,overview,4676,124743
2020-04-19,United Kingdom,overview,5850,120067
2020-04-18,United Kingdom,overview,5526,114217
2020-04-17,United Kingdom,overview,5599,108692
2020-04-16,United Kingdom,overview,4618,103093
2020-04-15,United Kingdom,overview,4605,98476
2020-04-14,United Kingdom,overview,5252,93873
2020-04-13,United Kingdom,overview,4342,88621
2020-04-12,United Kingdom,overview,5288,84279
2020-04-11,United Kingdom,overview,5234,78991
2020-04-10,United Kingdom,overview,5706,73758
2020-04-09,United Kingdom,overview,4675,68052
2020-04-08,United Kingdom,overview,5865,63377
2020-04-07,United Kingdom,overview,3888,57512
2020-04-06,United Kingdom,overview,4143,53624
2020-04-05,United Kingdom,overview,6199,49481
2020-04-04,United Kingdom,overview,4000,43282
2020-04-03,United Kingdom,overview,4672,39282
2020-04-02,United Kingdom,overview,4522,34610
2020-04-01,United Kingdom,overview,4567,30088
2020-03-31,United Kingdom,overview,3250,25521
2020-03-30,United Kingdom,overview,2665,22271
2020-03-29,United Kingdom,overview,2502,19606
2020-03-28,United Kingdom,overview,2556,17104
2020-03-27,United Kingdom,overview,2890,14548
2020-03-26,United Kingdom,overview,2129,11658
2020-03-25,United Kingdom,overview,1452,9529
2020-03-24,United Kingdom,overview,1427,8077
2020-03-23,United Kingdom,overview,967,6650
2020-03-22,United Kingdom,overview,665,5683
2020-03-21,United Kingdom,overview,1035,5018
2020-03-20,United Kingdom,overview,714,3983
2020-03-19,United Kingdom,overview,643,3269
2020-03-18,United Kingdom,overview,676,2626
2020-03-17,United Kingdom,overview,407,1950
2020-03-16,United Kingdom,overview,152,1543
2020-03-15,United Kingdom,overview,330,1391
2020-03-14,United Kingdom,overview,264,1061
2020-03-13,United Kingdom,overview,207,797
2020-03-12,United Kingdom,overview,134,590
2020-03-11,United Kingdom,overview,83,456
2020-03-10,United Kingdom,overview,,373
2020-03-09,United Kingdom,overview,,
2020-03-08,United Kingdom,overview,,
2020-03-07,United Kingdom,overview,,
2020-03-06,United Kingdom,overview,,
