,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
0,0.57,0.011,0.456,0.011,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999962833333333,3.3333333333333333e-06,3.3333333333333335e-07,1.6666666666666667e-08,3.3333333333333334e-08,0.0,-2.220446049250313e-16,0.0,0.0,2.3781998884724245
1,0.57,0.011,0.456,0.011,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999940126504178,4.349749413018371e-06,8.877645598705192e-07,4.059423426306448e-07,1.830675439019841e-07,5.9824195063352174e-09,1.5482240867115138e-07,2.0894632380831586e-11,2.1992369373015973e-08,2.3781998884724245
2,0.57,0.011,0.456,0.011,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999908471260379,5.849857309798305e-06,1.5587647301272766e-06,7.953149325339543e-07,5.401428160541323e-07,2.4976098323820735e-08,3.8365641641391335e-07,1.616587738072311e-10,6.910236111746876e-08,2.3781998884724245
3,0.57,0.011,0.456,0.011,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999864546072679,7.983452379901015e-06,2.416927564010992e-06,1.242164113486194e-06,1.1246095141330884e-06,6.284588548228855e-08,7.148129665957015e-07,5.803084782200502e-10,1.5036165466666837e-07,2.3781998884724245
4,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999803712583544,1.0971445515059266e-05,3.5516485970139574e-06,1.8038717912287479e-06,1.9859059914135924e-06,1.271717231529851e-07,1.1871966503207432e-06,1.501377305537886e-09,2.7819240144873964e-07,1.6616430745418735
5,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999747524090818,1.2697386355446643e-05,4.8991823364378575e-06,2.4226630742488216e-06,3.184138098966639e-06,2.2727066526610146e-07,1.8137152384412047e-06,3.235149256910338e-09,4.6770118471421897e-07,1.6616430745418735
6,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999681406241784,1.478804459473577e-05,6.350433576342829e-06,3.0323016652515364e-06,4.72296071211784e-06,3.7138545397697417e-07,2.588068565678725e-06,6.181253635945376e-09,7.299464991894507e-07,1.6616430745418735
7,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999603675125835,1.728509455706724e-05,7.950984382448905e-06,3.6755189104703087e-06,6.607955860480476e-06,5.676640141539735e-07,3.5344500572964677e-06,1.0819634492973699e-08,1.0758450060474408e-06,1.6616430745418735
8,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.999951232690561,2.024586495626632e-05,9.747577134600205e-06,4.385943711879858e-06,8.863780707533797e-06,8.250806460121934e-07,4.681346758350635e-06,1.77155243780434e-08,1.518281793985424e-06,1.6616430745418735
9,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999404990877465,2.374296329201236e-05,1.1790373585650803e-05,5.192719181741497e-06,1.1531219451023078e-05,1.1537669396840777e-06,6.062340448864667e-06,2.752935449020901e-08,2.0725023581277257e-06,1.6616430745418735
