,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
0,0.57,0.011,0.456,0.011,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999962833333333,3.3333333333333333e-06,3.3333333333333335e-07,1.6666666666666667e-08,3.3333333333333334e-08,0.0,-2.220446049250313e-16,0.0,0.0,2.3781998884724245
1,0.57,0.011,0.456,0.011,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.999994043837694,4.338910644977689e-06,8.786258758640509e-07,3.943018476101736e-07,1.8704827500000001e-07,5.277825000000001e-09,1.5199192093806602e-07,5.916666666666667e-12,2.109331666666667e-08,2.3781998884724245
2,0.57,0.011,0.456,0.011,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999909358716196,5.811616494155026e-06,1.5384074279169482e-06,7.765353558739005e-07,5.381052621386472e-07,2.3331154700138328e-08,3.7601593605440797e-07,1.1674958446353144e-10,6.668013539848292e-08,2.3781998884724245
3,0.57,0.011,0.456,0.011,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999866408647508,7.896460034037892e-06,2.379507317792684e-06,1.2158006792416664e-06,1.1080177849918785e-06,5.973263152573771e-08,6.991312405668637e-07,4.85561141218395e-10,1.4537892169021883e-07,2.3781998884724245
4,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.999981644535266,9.876462417035254e-06,3.4869012524295998e-06,1.765781257369335e-06,1.944877184275692e-06,1.2169500470645514e-07,1.1584198692515812e-06,1.3277490099292428e-09,2.6902124857135134e-07,1.6616430745418735
5,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999765580284168,1.1465681758812674e-05,4.654525359540287e-06,2.270188145016566e-06,3.095406799020869e-06,2.178572518102395e-07,1.7353713489542955e-06,2.9409200581120348e-09,4.5121281593846107e-07,1.6616430745418735
6,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999705797441067,1.337221901908716e-05,5.927326433937062e-06,2.7890491099514955e-06,4.5265235689653395e-06,3.543276544704088e-07,2.445109179127769e-06,5.700927757414273e-09,6.984769510280179e-07,1.6616430745418735
7,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999635570457606,1.5638139465189606e-05,7.342893090202767e-06,3.3515466272506386e-06,6.252873690077456e-06,5.381191688206476e-07,3.309337678114588e-06,1.0044519924921053e-08,1.020592665366102e-06,1.6616430745418735
8,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999553091953047,1.8317669533358416e-05,8.94100062468623e-06,3.9824108238087625e-06,8.302515839922334e-06,7.770825959017397e-07,4.3536431927337915e-06,1.6482084936813505e-08,1.4291383265243044e-06,1.6616430745418735
9,0.422,0.0057,0.285,0.0057,0.171,0.371,0.125,0.125,0.017,0.027,0.01,0.034,0.017,0.017,0.034,0.017,0.9999456229450585,2.1477602309231283e-05,1.0765199738075908e-05,4.704565848660346e-06,1.0715720575724816e-05,1.0801685171680571e-06,5.6081906032456885e-06,2.5607349303797427e-08,1.9378232118836137e-06,1.6616430745418735
