,data,deceduti
0,2020-11-03,1
1,2020-12-03,1
2,2020-03-13,2
3,2020-03-14,3
4,2020-03-15,5
5,2020-03-16,7
6,2020-03-17,8
7,2020-03-18,14
8,2020-03-19,21
9,2020-03-20,30
10,2020-03-21,38
11,2020-03-22,49
12,2020-03-23,60
13,2020-03-24,81
14,2020-03-25,103
15,2020-03-26,134
16,2020-03-27,166
17,2020-03-28,201
18,2020-03-29,239
19,2020-03-30,284
20,2020-03-31,332
21,2020-01-04,385
22,2020-02-04,455
23,2020-03-04,535
24,2020-04-04,605
25,2020-05-04,690
26,2020-06-04,780
27,2020-07-04,864
28,2020-08-04,979
29,2020-09-04,1065
30,2020-10-04,1155
31,2020-11-04,1258
32,2020-12-04,1355
33,2020-04-13,1440
34,2020-04-14,1531
35,2020-04-15,1646
36,2020-04-16,1757
37,2020-04-17,1839
38,2020-04-18,1925
39,2020-04-19,2013
40,2020-04-20,2097
41,2020-04-21,2159
42,2020-04-22,2236
43,2020-04-23,2322
44,2020-04-24,2411
45,2020-04-25,2484
46,2020-04-26,2559
47,2020-04-27,2632
48,2020-04-28,2714
49,2020-04-29,2798
50,2020-04-30,2876
51,2020-01-05,2954
52,2020-02-05,3027
53,2020-03-05,3102
54,2020-04-05,3186
55,2020-05-05,3258
56,2020-06-05,3331
57,2020-07-05,3411
58,2020-08-05,3471
59,2020-09-05,3540
60,2020-10-05,3614
61,2020-11-05,3678
62,2020-12-05,3739
63,2020-05-13,3789
64,2020-05-14,3835
65,2020-05-15,3893
66,2020-05-16,3942
67,2020-05-17,3995
68,2020-05-18,4056
69,2020-05-19,4096
70,2020-05-20,4150
71,2020-05-21,4204
72,2020-05-22,4260
73,2020-05-23,4316
74,2020-05-24,4360
75,2020-05-25,4402
76,2020-05-26,4430
77,2020-05-27,4469
78,2020-05-28,4509
79,2020-05-29,4549
80,2020-05-30,4588
81,2020-05-31,4633
82,2020-01-06,4673
83,2020-02-06,4710
84,2020-03-06,4736
85,2020-04-06,4781
86,2020-05-06,4819
87,2020-06-06,4850
88,2020-07-06,4883
89,2020-08-06,4921
90,2020-09-06,4954
91,2020-10-06,4994
92,2020-11-06,5030
93,2020-12-06,5060
94,2020-06-13,5093
95,2020-06-14,5120
96,2020-06-15,5151
97,2020-06-16,5179
98,2020-06-17,5212
99,2020-06-18,5241
100,2020-06-19,5270
101,2020-06-20,5299
102,2020-06-21,5320
103,2020-06-22,5341
104,2020-06-23,5366
105,2020-06-24,5388
106,2020-06-25,5412
107,2020-06-26,5423
108,2020-06-27,5437
109,2020-06-28,5459
110,2020-06-29,5477
111,2020-06-30,5497
112,2020-01-07,5514
113,2020-02-07,5529
114,2020-03-07,5537
115,2020-04-07,5552
116,2020-05-07,5561
117,2020-06-07,5576
118,2020-07-07,5588
119,2020-08-07,5599
120,2020-09-07,5613
121,2020-10-07,5626
122,2020-11-07,5636
123,2020-12-07,5645
124,2020-07-13,5659
125,2020-07-14,5667
126,2020-07-15,5673
127,2020-07-16,5679
128,2020-07-17,5686
129,2020-07-18,5695
130,2020-07-19,5704
131,2020-07-20,5709
132,2020-07-21,5716
133,2020-07-22,5722
134,2020-07-23,5725
135,2020-07-24,5726
136,2020-07-25,5727
137,2020-07-26,5728
138,2020-07-27,5729
139,2020-07-28,5730
140,2020-07-29,5730
141,2020-07-30,5730
