data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,dimessi_guariti,deceduti,totale_casi
2020-02-20,ITA,3,0,3,0,0,0,3
2020-02-21,ITA,-1,-1,-1,-1,-1,-1,20
2020-02-22,ITA,-1,-1,-1,-1,-1,-1,79
2020-02-23,ITA,-1,-1,-1,-1,-1,-1,132
2020-02-24,ITA,101,26,127,94,1,7,229
2020-02-25,ITA,114,35,149,162,1,10,322
2020-02-26,ITA,128,36,164,221,3,12,400
2020-02-27,ITA,248,56,304,284,45,17,650
2020-02-28,ITA,345,64,409,412,46,21,888
2020-02-29,ITA,401,105,506,543,50,29,1128
2020-03-01,ITA,639,140,779,798,83,34,1694
2020-03-02,ITA,742,166,908,927,149,52,2036
2020-03-03,ITA,1034,229,1263,1000,160,79,2502
2020-03-04,ITA,1346,295,1641,1065,276,107,3089
2020-03-05,ITA,1790,351,2141,1155,414,148,3858
2020-03-06,ITA,2394,462,2856,1060,523,197,4636
2020-03-07,ITA,2651,567,3218,1843,589,233,5883
2020-03-08,ITA,3557,650,4207,2180,622,366,7375
2020-03-09,ITA,4316,733,5049,2936,724,463,9172
2020-03-10,ITA,5038,877,5915,2599,1004,631,10149
2020-03-11,ITA,5838,1028,6866,3724,1045,827,12462
2020-03-12,ITA,6650,1153,7803,5036,1258,1016,15113
2020-03-13,ITA,7426,1328,8754,6201,1439,1266,17660
2020-03-14,ITA,8372,1518,9890,7860,1966,1441,21157
2020-03-15,ITA,9663,1672,11335,9268,2335,1809,24747
2020-03-16,ITA,11025,1851,12876,10197,2749,2158,27980
2020-03-17,ITA,12894,2060,14954,11108,2941,2503,31506
2020-03-18,ITA,14363,2257,16620,12090,4025,2978,35713
2020-03-19,ITA,15757,2498,18255,14935,4440,3405,41035
2020-03-20,ITA,16020,2655,18675,19185,5129,4032,47021
2020-03-21,ITA,17708,2857,20565,22116,6072,4825,53578
2020-03-22,ITA,19846,3009,22855,23783,7024,5476,59138
2020-03-23,ITA,20692,3204,23896,26522,7432,6077,63927
2020-03-24,ITA,21937,3396,25333,28697,8326,6820,69176
2020-03-25,ITA,23112,3489,26601,30920,9362,7503,74386
2020-03-26,ITA,24753,3612,28365,33648,10361,8165,80539
2020-03-27,ITA,26029,3732,29761,36653,10950,9134,86498
2020-03-28,ITA,26676,3856,30532,39533,12384,10023,92472
2020-03-29,ITA,27386,3906,31292,42588,13030,10779,97689
2020-03-30,ITA,27795,3981,31776,43752,14620,11591,101739
2020-03-31,ITA,28192,4023,32215,45420,15729,12428,105792
2020-04-01,ITA,28403,4035,32438,48134,16847,13155,110574
2020-04-02,ITA,28540,4053,32593,50456,18278,13915,115242
2020-04-03,ITA,28741,4068,32809,52579,19758,14681,119827
2020-04-04,ITA,29010,3994,33004,55270,20996,15362,124632
2020-04-05,ITA,28949,3977,32926,58320,21815,15887,128948
2020-04-06,ITA,28976,3898,32874,60313,22837,16523,132547
2020-04-07,ITA,28718,3792,32510,61557,24392,17127,135586
2020-04-08,ITA,28485,3693,32178,63084,26491,17669,139422
2020-04-09,ITA,28399,3605,32004,64873,28470,18279,143626
2020-04-10,ITA,28242,3497,31739,66534,30455,18849,147577
2020-04-11,ITA,28144,3381,31525,68744,32534,19468,152271
2020-04-12,ITA,27847,3343,31190,71063,34211,19899,156363
2020-04-13,ITA,28023,3260,31283,72333,35435,20465,159516
2020-04-14,ITA,28011,3186,31197,73094,37130,21067,162488
2020-04-15,ITA,27643,3079,30722,74696,38092,21645,165155
2020-04-16,ITA,26893,2936,29829,76778,40164,22170,168941
2020-04-17,ITA,25786,2812,28598,78364,42727,22745,172434
2020-04-18,ITA,25007,2733,27740,80031,44927,23227,175925
2020-04-19,ITA,25033,2635,27668,80589,47055,23660,178972
2020-04-20,ITA,24906,2573,27479,80758,48877,24114,181228
2020-04-21,ITA,24134,2471,26605,81104,51600,24648,183957
2020-04-22,ITA,23805,2384,26189,81510,54543,25085,187327
2020-04-23,ITA,22871,2267,25138,81710,57576,25549,189973
2020-04-24,ITA,22068,2173,24241,82286,60498,25969,192994
2020-04-25,ITA,21533,2102,23635,82212,63120,26384,195351
2020-04-26,ITA,21372,2009,23381,82722,64928,26644,197675
2020-04-27,ITA,20353,1956,22309,83504,66624,26977,199414
2020-04-28,ITA,19723,1863,21586,83619,68941,27359,201505
2020-04-29,ITA,19210,1795,21005,83652,71252,27682,203591
2020-04-30,ITA,18149,1694,19843,81708,75945,27967,205463
2020-05-01,ITA,17569,1578,19147,81796,78249,28236,207428
